NET,YEAR,First Night,NIGHTS,NET SIZE,NET HEIGHT,HABITAT,LAT,LONG,PONDm,PONDd,HILLm,,
81,2007,7/10/2007,3,9,1,FIELD,42.949685,71.656076,1936,N,470,,
82,2007,7/10/2007,3,9,1,ROAD,42.949853,71.656068,1958,N,475,,
83,2007,7/10/2007,2,18,2,FIELD,42.948799,71.656643,1854,N,390,,
84,2007,7/11/2007,2,9,3,FIELD,42.948985,71.655829,1834,N,474,,
85,2007,7/11/2007,2,12,2,FIELD,42.949022,71.655562,1835,N,500,,
86,2007,7/13/2007,3,9,3,ROAD,42.944725,71.643144,924,N,1520,,
87,2007,7/13/2007,3,6,1,ROAD,42.944505,71.658410,1719,W,334,,
88,2007,7/13/2007,3,9,2,ROAD,42.943031,71.661016,1827,W,276,,
89,2007,7/13/2007,3,6,1,ROAD,42.942814,71.661453,1860,W,302,,
90,2007,7/13/2007,3,6,1,ROAD,42.942519,71.661831,1875,W,339,,
91,2007,7/14/2007,2,9,2,FIELD,42.944301,71.653727,1393,W,686,,
92,2007,7/14/2007,2,9,2,FIELD,42.943135,71.653224,1210,W,783,,
93,2007,7/14/2007,2,9,2,TRAIL,42.942394,71.652909,1198,W,854,,
94,2007,7/16/2007,3,12,2,POND,42.941527,71.635142,306,N,2226,,
95,2007,7/16/2007,3,12,2,POND,42.941124,71.635043,296,W,2248,,
96,2007,7/17/2007,2,27,1,POND,42.941521,71.635651,349,N,2190,,
97,2007,7/18/2007,1,9,3,POND,42.941933,71.635393,371,N,2209,,
98,2007,7/16/2007,3,6,2,ROAD,42.933550,71.634368,140,S,2633,,
99,2007,7/16/2007,3,6,2,ROAD,42.933078,71.633722,225,S,2706,,
100,2012,7/9/2012,1,9,1,ROAD,42.948853,71.656283,1893,N,404,,
101,2012,7/9/2012,1,6,1,TRAIL,42.950462,71.655587,1979,N,570,,
102,2012,7/9/2012,1,6,1,TRAIL,42.950213,71.654945,1942,N,625,,
103,2012,7/9/2012,1,6,1,TRAIL,42.946922,71.644041,1226,N,1503,,
104,2012,7/9/2012,1,6,1,ROAD,42.946729,71.643599,1202,N,1543,,
105,2012,7/9/2012,1,9,1,TRAIL,42.946523,71.643745,1169,N,1523,,
106,2012,7/10/2012,1,6,1,TRAIL,42.945021,71.654505,1520,N,655,,
107,2012,7/10/2012,1,18,1,POND,42.944734,71.654009,1433,N,678,,
108,2012,7/10/2012,1,9,1,FIELD,42.943889,71.652946,1356,N,784,,
109,2012,7/10/2012,1,9,1,ROAD,42.945193,71.668503,2498,W,169,,
110,2012,7/10/2012,1,6,1,TRAIL,42.943959,71.664682,2138,W,140,,
111,2012,7/11/2012,1,9,1,ROAD,42.935207,71.634204,45,E,2540,,
112,2012,7/11/2012,1,9,1,TRAIL,42.934512,71.634753,52,E,2542,,
113,2012,7/11/2012,1,9,1,ROAD,42.929304,71.630664,718,S,3171,,
114,2012,7/11/2012,1,9,1,TRAIL,42.928649,71.630322,812,S,3213,,
115,2012,7/11/2012,1,6,1,TRAIL,42.928375,71.629965,842,S,3281,,
116,2012,7/11/2012,1,6,1,TRAIL,42.926870,71.629242,992,S,3396,,
117,2012,7/12/2012,1,9,1,TRAIL,42.931429,71.626737,807,E,3294,,
118,2012,7/12/2012,1,12,1,ROAD,42.932094,71.626510,792,E,3312,,
119,2012,7/12/2012,1,6,1,TRAIL,42.930977,71.625614,935,E,3414,,
120,2012,7/12/2012,1,9,1,ROAD,42.943592,71.622520,1318,E,3199,,
121,2012,7/12/2012,1,9,1,ROAD,42.943575,71.623341,1238,E,3146,,
122,2012,7/13/2012,1,6,1,TRAIL,42.948447,71.651342,1613,N,930,,
123,2012,7/13/2012,1,6,1,TRAIL,42.948146,71.651285,1569,N,936,,
124,2012,7/13/2012,1,6,1,TRAIL,42.944507,71.658362,1752,W,340,,
125,2012,7/13/2012,1,6,1,TRAIL,42.943015,71.661259,1877,W,279,,
126,2013,6/15/2013,1,6,1,TRAIL,42.943063,71.625239,1076,N,3001,,
127,2013,6/15/2013,1,9,1,ROAD,42.943128,71.624880,1117,N,3000,,
128,2013,6/15/2013,1,9,1,ROAD,42.943560,71.623355,1179,N,3163,,
129,2013,6/15/2013,1,9,1,ROAD,42.937176,71.620793,1142,E,3502,,
130,2013,6/15/2013,1,6,1,ROAD,42.935011,71.618990,1325,E,3728,,
131,2013,6/15/2013,1,6,1,TRAIL,42.934528,71.618727,1345,E,3772,,
132,2013,6/16/2013,1,6,1,TRAIL,42.936710,71.634925,178,N,2442,,
133,2013,6/16/2013,1,6,1,TRAIL,42.937747,71.634585,284,N,2426,,
134,2013,6/16/2013,1,6,1,ROAD,42.928408,71.629999,833,S,3267,,
135,2013,6/16/2013,1,6,1,TRAIL,42.928870,71.629372,826,S,3264,,
136,2013,6/16/2013,1,12,1,STREAM,42.928945,71.629669,801,S,3246,,
137,2013,6/16/2013,1,9,1,ROAD,42.931004,71.626945,809,E,3318,,
138,2013,6/18/2013,3,9,1,ROAD,42.945143,71.668319,2462,W,140,,
139,2013,6/18/2013,3,6,1,TRAIL,42.941370,71.662655,1879,W,411,,
140,2013,6/18/2013,3,6,2,ROAD,42.944849,71.658209,1735,W,351,,
141,2013,6/18/2013,3,6,1,TRAIL,42.944607,71.658363,1723,W,346,,
142,2013,6/18/2013,3,9,1,TRAIL,42.945034,71.653971,1478,W,687,,
143,2013,6/18/2013,3,9,1,TRAIL,42.945684,71.652482,1443,N,796,,
144,2013,6/18/2013,3,6,1,ROAD,42.945881,71.650757,1370,N,954,,
145,2013,6/18/2013,1,6,1,TRAIL,42.949178,71.633889,1242,N,2311,,
146,2013,6/18/2013,1,6,2,TRAIL,42.947341,71.637328,1042,N,2002,,
147,2013,6/18/2013,1,9,1,TRAIL,42.946973,71.644017,1180,N,1495,,
148,2013,6/18/2013,1,6,1,TRAIL,42.946648,71.644224,1157,N,1464,,
149,2013,6/18/2013,1,9,1,TRAIL,42.940308,71.640431,410,N,1880,,
150,2013,6/18/2013,1,6,1,ROAD,42.949039,71.656342,1908,N,721,,
